23,42,92,20,0,onTime
low,medium,high,low,low,onTime
32,67,58,24,10,onTime
low,high,low,low,medium,onTime
40,81,56,22,6,onTime
medium,high,low,low,low,onTime
29,70,64,28,4,onTime
low,high,medium,medium,low,onTime
44,54,70,32,2,onTime
medium,medium,medium,medium,low,onTime
22,58,43,20,0,onTime
low,medium,low,low,low,onTime
35,44,73,37,2,onTime
medium,medium,medium,medium,low,onTime
46,29,104,24,8,onTime
medium,low,high,low,medium,onTime
19,53,63,12,0,onTime
low,medium,medium,low,low,onTime
52,48,50,54,0,onTime
medium,medium,low,high,low,onTime
39,44,64,46,0,onTime
medium,medium,medium,high,low,onTime
38,74,48,36,8,onTime
medium,high,low,medium,medium,onTime
38,55,82,32,0,onTime
medium,medium,medium,medium,low,onTime
32,52,82,18,8,onTime
low,medium,medium,low,medium,onTime
34,51,54,36,10,onTime
medium,medium,low,medium,medium,onTime
28,53,85,32,0,onTime
low,medium,medium,medium,low,onTime
25,35,72,8,0,onTime
low,low,medium,low,low,onTime
34,41,46,54,4,onTime
medium,medium,low,high,low,onTime
26,45,54,20,0,onTime
low,medium,low,low,low,onTime
24,34,50,50,8,onTime
low,low,low,high,medium,onTime
46,68,69,16,4,onTime
medium,high,medium,low,low,onTime
64,38,80,36,0,onTime
medium,low,medium,medium,low,onTime
49,49,63,28,12,onTime
medium,medium,medium,medium,medium,onTime
37,32,92,31,0,onTime
medium,low,high,medium,low,onTime
37,70,88,22,0,onTime
medium,high,high,low,low,onTime
34,76,56,28,8,onTime
medium,high,low,medium,medium,onTime
25,36,74,4,4,onTime
low,low,medium,low,low,onTime
30,59,88,29,0,onTime
low,medium,high,medium,low,onTime
22,58,60,8,0,onTime
low,medium,medium,low,low,onTime
22,57,92,18,2,onTime
low,medium,high,low,low,onTime
41,64,64,32,4,onTime
medium,high,medium,medium,low,onTime
39,42,98,22,0,onTime
medium,medium,high,low,low,onTime
37,42,61,12,0,onTime
medium,medium,medium,low,low,onTime
39,59,65,26,8,onTime
medium,medium,medium,medium,medium,onTime
24,53,54,16,0,onTime
low,medium,low,low,low,onTime
18,54,78,20,14,onTime
low,medium,medium,low,medium,onTime
12,47,72,8,0,onTime
low,medium,medium,low,low,onTime
24,44,94,26,0,onTime
low,medium,high,medium,low,onTime
47,48,78,38,2,onTime
medium,medium,medium,medium,low,onTime
17,20,36,80,4,onTime
low,low,low,high,low,onTime
19,35,61,20,0,onTime
low,low,medium,low,low,onTime
33,56,88,26,0,onTime
low,medium,high,medium,low,onTime
50,48,76,36,0,onTime
medium,medium,medium,medium,low,onTime
30,74,64,35,0,onTime
low,high,medium,medium,low,onTime
46,71,50,30,6,onTime
medium,high,low,medium,low,onTime
37,68,63,30,4,onTime
medium,high,medium,medium,low,onTime
23,79,70,16,8,onTime
low,high,medium,low,medium,onTime
23,51,48,20,4,onTime
low,medium,low,low,low,onTime
29,24,44,60,4,onTime
low,low,low,high,low,onTime
16,38,52,23,0,onTime
low,low,low,low,low,onTime
38,34,63,48,2,onTime
medium,low,medium,high,low,onTime
32,40,71,24,14,onTime
low,medium,medium,low,medium,onTime
32,74,54,32,6,onTime
low,high,low,medium,low,onTime
44,36,74,44,0,onTime
medium,low,medium,medium,low,onTime
28,20,56,52,8,onTime
low,low,low,high,medium,onTime
34,40,56,16,0,onTime
medium,medium,low,low,low,onTime
44,48,88,36,0,onTime
medium,medium,high,medium,low,onTime
48,44,72,38,0,onTime
medium,medium,medium,medium,low,onTime
31,52,67,28,11,onTime
low,medium,medium,medium,medium,onTime
46,48,48,49,2,onTime
medium,medium,low,high,low,onTime
41,40,84,32,0,onTime
medium,medium,medium,medium,low,onTime
36,52,70,36,4,onTime
medium,medium,medium,medium,low,onTime
29,44,94,22,4,onTime
low,medium,high,low,low,onTime
26,76,44,36,6,onTime
low,high,low,medium,low,onTime
40,52,66,36,2,onTime
medium,medium,medium,medium,low,onTime
23,77,55,20,8,onTime
low,high,low,low,medium,onTime
40,54,72,14,14,onTime
medium,medium,medium,low,medium,onTime
36,50,82,28,0,onTime
medium,medium,medium,medium,low,onTime
31,44,70,42,6,onTime
low,medium,medium,medium,low,onTime
29,36,62,18,0,onTime
low,low,medium,low,low,onTime
33,50,66,38,0,onTime
low,medium,medium,medium,low,onTime
89,52,48,50,0,lateTime
high,medium,low,high,low,lateTime
75,51,54,32,0,lateTime
high,medium,low,medium,low,lateTime
58,44,74,44,2,lateTime
medium,medium,medium,medium,low,lateTime
87,22,29,24,10,lateTime
high,low,low,low,medium,lateTime
56,63,72,42,0,lateTime
medium,high,medium,medium,low,lateTime
32,87,84,10,0,lateTime
low,high,medium,low,low,lateTime
45,54,91,28,0,lateTime
medium,medium,high,medium,low,lateTime
83,50,70,34,0,lateTime
high,medium,medium,medium,low,lateTime
46,78,62,34,2,lateTime
medium,high,medium,medium,low,lateTime
39,46,59,16,0,lateTime
medium,medium,low,low,low,lateTime
40,68,86,28,0,lateTime
medium,high,medium,medium,low,lateTime
60,54,85,35,0,lateTime
medium,medium,medium,medium,low,lateTime
49,58,62,52,2,lateTime
medium,medium,medium,high,low,lateTime
55,71,50,42,2,lateTime
medium,high,low,medium,low,lateTime
58,82,68,22,2,lateTime
medium,high,medium,low,low,lateTime
72,71,48,46,6,lateTime
high,high,low,high,low,lateTime
51,45,52,20,0,lateTime
medium,medium,low,low,low,lateTime
49,66,73,16,14,lateTime
medium,high,medium,low,medium,lateTime
53,67,38,58,12,lateTime
medium,high,low,high,medium,lateTime
36,64,56,12,0,lateTime
medium,high,low,low,low,lateTime
50,55,68,46,0,lateTime
medium,medium,medium,high,low,lateTime
75,48,58,41,2,lateTime
high,medium,low,medium,low,lateTime
133,42,72,26,0,lateTime
high,medium,medium,medium,low,lateTime
80,67,54,44,2,lateTime
high,high,low,medium,low,lateTime
66,69,38,36,12,lateTime
high,high,low,medium,medium,lateTime
74,48,58,46,2,lateTime
high,medium,low,high,low,lateTime
67,57,52,48,0,lateTime
high,medium,low,high,low,lateTime
39,61,72,8,0,lateTime
medium,medium,medium,low,low,lateTime
76,42,61,32,8,lateTime
high,medium,medium,medium,medium,lateTime
32,44,64,16,0,lateTime
low,medium,medium,low,low,lateTime
36,57,64,12,0,lateTime
medium,medium,medium,low,low,lateTime
50,76,76,30,0,lateTime
medium,high,medium,medium,low,lateTime
67,40,90,36,6,lateTime
high,medium,high,medium,low,lateTime
48,46,85,32,0,lateTime
medium,medium,medium,medium,low,lateTime
