"deviceid"|"latitude"|"longitude"|"speed"|"satellite"|"lock"|"trktime"
"594"|"10.93945"|"106.54314"|"0"|"4"|"0"|"2012-11-09 01:02:50"
"594"|"10.93945"|"106.54314"|"0"|"5"|"0"|"2012-11-09 01:03:21"
"594"|"10.93945"|"106.54314"|"0"|"5"|"0"|"2012-11-09 01:03:52"
"594"|"10.93946"|"106.54314"|"0"|"5"|"0"|"2012-11-09 01:04:23"
"594"|"10.93945"|"106.54314"|"0"|"5"|"0"|"2012-11-09 01:04:54"
"594"|"10.93945"|"106.54314"|"0"|"5"|"0"|"2012-11-09 01:04:59"
"594"|"10.93945"|"106.54314"|"0"|"5"|"0"|"2012-11-09 01:05:29"
"594"|"10.93946"|"106.54314"|"0"|"5"|"0"|"2012-11-09 01:06:04"
"594"|"10.93946"|"106.54314"|"0"|"5"|"0"|"2012-11-09 01:06:33"
"594"|"10.93946"|"106.54315"|"0"|"5"|"0"|"2012-11-09 01:07:01"
"594"|"10.93946"|"106.54315"|"0"|"5"|"0"|"2012-11-09 01:07:30"
"594"|"10.93946"|"106.54315"|"0"|"5"|"0"|"2012-11-09 01:08:00"
"594"|"10.93947"|"106.54318"|"0"|"5"|"0"|"2012-11-09 01:08:30"
"594"|"10.93945"|"106.54317"|"0"|"5"|"0"|"2012-11-09 01:09:00"
"594"|"10.93944"|"106.54318"|"0"|"5"|"0"|"2012-11-09 01:09:30"
"594"|"10.93945"|"106.54318"|"0"|"5"|"0"|"2012-11-09 01:10:00"
"594"|"10.93944"|"106.54318"|"0"|"5"|"0"|"2012-11-09 01:10:30"
"594"|"10.93944"|"106.54319"|"0"|"5"|"0"|"2012-11-09 01:11:00"
"594"|"10.93944"|"106.54319"|"0"|"5"|"0"|"2012-11-09 01:11:30"
"594"|"10.93944"|"106.54319"|"0"|"5"|"0"|"2012-11-09 01:12:00"
"594"|"10.93944"|"106.54319"|"0"|"5"|"0"|"2012-11-09 01:12:30"
"594"|"10.93944"|"106.54319"|"0"|"5"|"0"|"2012-11-09 01:13:00"
"594"|"10.93943"|"106.54319"|"0"|"6"|"0"|"2012-11-09 01:13:30"
"594"|"10.93943"|"106.54319"|"0"|"5"|"0"|"2012-11-09 01:14:00"
"594"|"10.93943"|"106.54319"|"0"|"6"|"0"|"2012-11-09 01:14:30"
"594"|"10.93943"|"106.54319"|"0"|"5"|"0"|"2012-11-09 01:15:00"
"594"|"10.93944"|"106.54319"|"0"|"5"|"0"|"2012-11-09 01:15:30"
"594"|"10.93945"|"106.54319"|"0"|"6"|"0"|"2012-11-09 01:16:00"
"594"|"10.93946"|"106.54319"|"0"|"6"|"0"|"2012-11-09 01:16:30"
"594"|"10.93946"|"106.54319"|"0"|"6"|"0"|"2012-11-09 01:17:00"
"594"|"10.93946"|"106.54319"|"0"|"5"|"0"|"2012-11-09 01:17:30"
"594"|"10.93947"|"106.54319"|"0"|"6"|"0"|"2012-11-09 01:18:00"
"594"|"10.93947"|"106.54321"|"0"|"5"|"0"|"2012-11-09 01:18:30"
"594"|"10.93947"|"106.54318"|"0"|"6"|"0"|"2012-11-09 01:19:00"
"594"|"10.93947"|"106.54316"|"0"|"6"|"0"|"2012-11-09 01:19:30"
"594"|"10.93946"|"106.54314"|"0"|"7"|"0"|"2012-11-09 01:20:00"
"594"|"10.93946"|"106.54312"|"0"|"7"|"0"|"2012-11-09 01:20:30"
"594"|"10.93946"|"106.54312"|"0"|"6"|"0"|"2012-11-09 01:21:00"
"594"|"10.93947"|"106.54312"|"0"|"7"|"0"|"2012-11-09 01:21:30"
"594"|"10.93947"|"106.54312"|"0"|"7"|"0"|"2012-11-09 01:22:03"
"594"|"10.93946"|"106.54311"|"0"|"7"|"0"|"2012-11-09 01:22:33"
"594"|"10.93945"|"106.54311"|"0"|"7"|"0"|"2012-11-09 01:23:03"
"594"|"10.93946"|"106.5431"|"0"|"7"|"0"|"2012-11-09 01:23:33"
"594"|"10.93945"|"106.54311"|"0"|"6"|"0"|"2012-11-09 01:24:03"
"594"|"10.93945"|"106.54311"|"0"|"6"|"0"|"2012-11-09 01:24:32"
"594"|"10.93945"|"106.5431"|"0"|"7"|"0"|"2012-11-09 01:25:02"
"594"|"10.93944"|"106.5431"|"0"|"7"|"0"|"2012-11-09 01:25:32"
"594"|"10.93945"|"106.5431"|"0"|"7"|"0"|"2012-11-09 01:26:02"
"594"|"10.93945"|"106.5431"|"0"|"7"|"0"|"2012-11-09 01:26:32"
"594"|"10.93946"|"106.5431"|"0"|"7"|"0"|"2012-11-09 01:27:02"
"594"|"10.93945"|"106.5431"|"0"|"6"|"0"|"2012-11-09 01:27:32"
"594"|"10.93945"|"106.5431"|"0"|"6"|"0"|"2012-11-09 01:28:02"
"594"|"10.93946"|"106.5431"|"0"|"6"|"0"|"2012-11-09 01:28:32"
"594"|"10.93946"|"106.5431"|"0"|"6"|"0"|"2012-11-09 01:29:01"
"594"|"10.93946"|"106.5431"|"0"|"7"|"0"|"2012-11-09 01:29:31"
"594"|"10.93946"|"106.5431"|"0"|"7"|"0"|"2012-11-09 01:30:01"
"594"|"10.93946"|"106.5431"|"0"|"7"|"0"|"2012-11-09 01:30:31"
"594"|"10.93946"|"106.5431"|"0"|"6"|"0"|"2012-11-09 01:31:01"
"594"|"10.93946"|"106.54311"|"0"|"7"|"0"|"2012-11-09 01:31:31"
"594"|"10.93946"|"106.54311"|"0"|"7"|"0"|"2012-11-09 01:32:01"
"594"|"10.93946"|"106.54311"|"0"|"7"|"0"|"2012-11-09 01:32:31"
"594"|"10.93946"|"106.54311"|"0"|"7"|"0"|"2012-11-09 01:33:01"
"594"|"10.93946"|"106.54311"|"0"|"7"|"0"|"2012-11-09 01:33:31"
"594"|"10.93946"|"106.54311"|"0"|"7"|"0"|"2012-11-09 01:34:01"
"594"|"10.93946"|"106.54311"|"0"|"7"|"0"|"2012-11-09 01:34:31"
"594"|"10.93946"|"106.54312"|"0"|"7"|"0"|"2012-11-09 01:35:01"
"594"|"10.93946"|"106.54312"|"0"|"7"|"0"|"2012-11-09 01:35:31"
"594"|"10.93946"|"106.54311"|"0"|"6"|"0"|"2012-11-09 01:36:01"
"594"|"10.93946"|"106.54311"|"0"|"7"|"0"|"2012-11-09 01:36:31"
"594"|"10.93947"|"106.54311"|"0"|"7"|"0"|"2012-11-09 01:37:01"
"594"|"10.93947"|"106.54312"|"0"|"6"|"0"|"2012-11-09 01:37:31"
"594"|"10.93947"|"106.54312"|"0"|"6"|"0"|"2012-11-09 01:38:01"
"594"|"10.93947"|"106.54312"|"0"|"6"|"0"|"2012-11-09 01:38:31"
"594"|"10.93947"|"106.54312"|"0"|"4"|"0"|"2012-11-09 01:39:01"
"594"|"10.93948"|"106.54312"|"0"|"4"|"0"|"2012-11-09 01:39:31"
"594"|"10.93947"|"106.54313"|"0"|"6"|"0"|"2012-11-09 01:40:01"
